"idno","author-short","title-short","year","country","narrative-perspective","subgenre-theme","subgenre-current","subgenre-novela-original","subgenre-novela-americana","subgenre-novela-mexicana","subgenre-novela-argentina","subgenre-novela-cubana","tokens"
"nh0001","VillaverdeC","Guajiro",1842,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",36461
"nh0002","PayroR","Moreira",1910,"Argentina","autodiegetic","novela política","novela realista","none","none","none","none","none",98903
"nh0003","AltamiranoIM","Antonia",1872,"Mexico","autodiegetic","novela sentimental","novela romántica","none","none","none","none","none",18017
"nh0004","PayroR","Inca",1905,"Argentina","heterodiegetic","novela histórica","unknown","none","none","none","none","none",21997
"nh0005","AltamiranoIM","Navidad",1871,"Mexico","autodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",17404
"nh0006","AltamiranoIM","Clemencia",1869,"Mexico","homodiegetic","novela sentimental","novela romántica","none","none","none","none","none",50806
"nh0007","AltamiranoIM","Zarco",1901,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",50965
"nh0008","RivarolaEE","AmarVuelo",1884,"Argentina","heterodiegetic","novela de costumbres","novela realista","none","none","none","none","none",41611
"nh0009","GutierrezE","Rastreador",1886,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",88720
"nh0010","MezaR","TioEmpleado",1887,"Cuba","homodiegetic","novela de costumbres","novela realista","none","none","none","none","none",93573
"nh0011","CambaceresE","Rumbo",1885,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",33544
"nh0012","CambaceresE","Sangre",1887,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",40924
"nh0013","MezaR","Carmela",1887,"Cuba","heterodiegetic","novela sentimental","novela naturalista","none","none","none","none","none",50455
"nh0014","AuberNoyaVF","Leoncio",1844,"Cuba","heterodiegetic","novela sentimental","unknown","none","none","none","none","none",40255
"nh0015","SaladoAlvarezV","Puebla",1903,"Mexico","heterodiegetic","novela histórica","novela realista","none","novela americana","novela mexicana","none","none",90242
"nh0016","CalcagnoF","Romualdo",1881,"Cuba","heterodiegetic","novela abolicionista","novela romántica","none","novela americana","none","none","novela cubana",30800
"nh0017","MarmolJ","Amalia",1855,"Argentina","heterodiegetic","novela histórica","novela romántica","none","novela americana","none","none","none",231376
"nh0018","IglesiaA","Adoracion",1894,"Cuba","autodiegetic","novela sentimental","unknown","novela original","none","none","none","none",44670
"nh0019","GamboaF","Cerillos",1889,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",16898
"nh0020","CalcagnoF","SY",1895,"Cuba","heterodiegetic","novela histórica","unknown","none","novela americana","none","none","novela cubana",26580
"nh0021","OcantosCM","CruzFalta",1883,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",39814
"nh0022","FriasH","Tomochic",1894,"Mexico","heterodiegetic","novela histórica","novela naturalista","none","novela americana","novela mexicana","none","none",61881
"nh0023","RabasaE","Bola",1887,"Mexico","autodiegetic","novela política","novela realista","novela original","none","none","none","none",38681
"nh0024","MansillaE","Medico",1860,"Argentina","autodiegetic","novela social","novela romántica","novela original","novela americana","none","none","none",41080
"nh0025","MansillaE","Miranda",1860,"Argentina","heterodiegetic","novela histórica","novela romántica","none","novela americana","none","novela argentina","none",71994
"nh0026","AnconaE","Cruz",1866,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",102735
"nh0027","LopezLV","GranAldea",1884,"Argentina","autodiegetic","novela de costumbres","novela realista","none","novela americana","none","novela argentina","none",50497
"nh0028","MohrLA","AlbertoTrejo",1884,"Argentina","heterodiegetic","novela psicológica","novela naturalista","none","none","none","none","none",40595
"nh0029","SicardiF","Extrano",1894,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",99767
"nh0030","SicardiF","Genaro",1895,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",48386
"nh0031","SicardiF","Paloche",1899,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",57685
"nh0032","SicardiF","Mendez",1897,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",72121
"nh0033","SicardiF","Justicia",1902,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",66652
"nh0034","CambaceresE","Musica",1884,"Argentina","homodiegetic","novela sentimental","novela naturalista","none","none","none","none","none",40754
"nh0035","LopezVF","NoviaDelHereje",1855,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",140319
"nh0036","LopezPortilloJ","Parcela",1898,"Mexico","heterodiegetic","novela de costumbres","novela realista","none","novela americana","novela mexicana","none","none",90800
"nh0037","LopezVF","Loca",1896,"Argentina","homodiegetic","novela histórica","novela romántica","none","none","none","none","none",100022
"nh0038","ArgerichJA","Inocentes",1884,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",76569
"nh0039","CantiloJL","Quimera",1899,"Argentina","heterodiegetic","novela de costumbres","novela naturalista","none","none","none","none","none",36161
"nh0040","GutierrezJM","CapitanPatricios",1864,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",16253
"nh0041","GorritiJM","Yocci",1876,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",19643
"nh0042","AlvarezJS","Austral",1897,"Argentina","autodiegetic","novela de costumbres","unknown","none","none","none","none","none",62521
"nh0043","GorritiJM","JuezVerdugo",1876,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",19791
"nh0044","CastellanosJ","Conjura",1909,"Cuba","heterodiegetic","novela social","novela realista","none","none","none","none","none",22991
"nh0045","MachaliR","EmiliaCoquetismo",1862,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",39646
"nh0046","OcantosCM","Promision",1897,"Argentina","heterodiegetic","novela social","novela realista","none","novela americana","none","novela argentina","none",65026
"nh0047","OcantosCM","Quilito",1891,"Argentina","heterodiegetic","novela social","novela realista","none","none","none","none","none",83234
"nh0048","OcantosCM","Perfecto",1902,"Argentina","autodiegetic","novela de costumbres","novela realista","none","novela americana","none","novela argentina","none",64894
"nh0049","RivaPalacioV","Garatuza",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",136380
"nh0050","CuellarJT","EnsaladaPollos",1871,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",48747
"nh0051","BarraE","Stella",1905,"Argentina","heterodiegetic","novela de costumbres","unknown","none","novela americana","none","novela argentina","none",100447
"nh0052","DelgadoR","ParientesRicos",1901,"Mexico","heterodiegetic","novela social","novela realista","none","none","none","none","none",105418
"nh0053","GutierrezE","JuanMoreira",1880,"Argentina","heterodiegetic","novela gauchesca","novela romántica","none","none","none","none","none",81953
"nh0054","GutierrezE","Chacho",1884,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",144155
"nh0055","GutierrezE","Montoneros",1886,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",82313
"nh0056","GutierrezE","MuerteHeroe",1886,"Argentina","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",104443
"nh0057","CambaceresE","Potpourri",1882,"Argentina","autodiegetic","novela de costumbres","novela naturalista","none","none","none","none","none",50450
"nh0058","DominguezS","Palomas",1886,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",37027
"nh0059","PodestaMT","Irresponsable",1889,"Argentina","autodiegetic","novela social","novela naturalista","none","none","none","none","none",45987
"nh0060","MiroJM","Bolsa",1891,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",59537
"nh0061","EchagueP","Chapanay",1884,"Argentina","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",26780
"nh0062","CantiloJM","Quillango",1880,"Argentina","heterodiegetic","novela de costumbres","novela realista","none","none","none","none","none",17162
"nh0063","ZayasGuarnerosP","Herencias",1899,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",95614
"nh0064","DiazCovarrubiasJ","Gomez",1858,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",81575
"nh0065","DiazCovarrubiasJ","ClaseMedia",1858,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",30551
"nh0066","MartinezVillergasJ","VidaChaleco",1859,"Cuba","heterodiegetic","novela de costumbres","unknown","novela original","none","none","none","none",197895
"nh0067","FriasH","UltimoDuelo",1896,"Mexico","heterodiegetic","novela social","novela realista","none","novela americana","novela mexicana","none","none",51837
"nh0068","DelgadoR","Calandria",1890,"Mexico","heterodiegetic","novela sentimental","novela realista","none","novela americana","novela mexicana","none","none",89456
"nh0069","MateosJA","CerroCampanas",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",213844
"nh0070","MezaR","DonAniceto",1889,"Cuba","heterodiegetic","novela de costumbres","unknown","none","none","none","none","none",41914
"nh0071","MezaR","UltimasPaginas",1891,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",36132
"nh0072","BarredaR","MisteriosCorazon",1875,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",82395
"nh0073","DiazCovarrubiasJ","Diablo",1858,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",17663
"nh0074","GamboaF","UnoTantos",1889,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",18177
"nh0075","DelgadoR","HistoriaVulgar",1904,"Mexico","heterodiegetic","novela social","novela realista","none","none","none","none","none",23172
"nh0076","HerediaN","Leonela",1893,"Cuba","heterodiegetic","novela sentimental","novela naturalista","none","novela americana","none","none","novela cubana",84295
"nh0077","ZayasGuarnerosP","AmorSublime",1899,"Mexico","heterodiegetic","novela de costumbres","unknown","none","novela americana","novela mexicana","none","none",120775
"nh0078","AlvarezJS","ViajeMatreros",1897,"Argentina","homodiegetic","novela de costumbres","unknown","none","novela americana","none","none","none",26082
"nh0079","AlvarezJS","MemoriasVigilante",1897,"Argentina","autodiegetic","novela de costumbres","unknown","none","none","none","none","none",21866
"nh0080","GamboaF","Santa",1903,"Mexico","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",98005
"nh0081","BungeCO","Sangre",1903,"Argentina","heterodiegetic","novela histórica","unknown","none","novela americana","none","novela argentina","none",79999
"nh0082","PodestaMT","AlmaNina",1892,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",35006
"nh0083","HolmbergEL","PartidosLucha",1875,"Argentina","autodiegetic","novela científica","unknown","none","none","none","none","none",34557
"nh0084","LarretaE","GloriaRamiro",1908,"Argentina","heterodiegetic","novela histórica","novela modernista","none","none","none","none","none",88443
"nh0085","SierraOReillyJ","AnoHospital",1841,"Mexico","autodiegetic","novela psicológica","novela romántica","none","none","none","none","none",133942
"nh0086","LugonesL","Guerra",1905,"Argentina","heterodiegetic","novela histórica","novela modernista","none","none","none","none","none",62205
"nh0087","CaneMI","Esther",1858,"Argentina","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",17724
"nh0088","MoranteP","Grandezas",1896,"Argentina","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",56661
"nh0089","DelgadoR","Angelina",1893,"Mexico","autodiegetic","novela sentimental","novela realista","none","none","none","none","none",89231
"nh0090","PaynoM","Bandidos",1892,"Mexico","heterodiegetic","novela de costumbres","novela naturalista","none","none","none","none","none",217243
"nh0091","CalcagnoF","DonEnriquito",1895,"Cuba","heterodiegetic","novela histórica","unknown","none","novela americana","none","none","novela cubana",26096
"nh0092","RiveraYRioJ","VirgenNiagara",1871,"Mexico","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",115995
"nh0093","EstradaS","Pampa",1866,"Argentina","heterodiegetic","novela de costumbres","unknown","none","none","none","none","none",22668
"nh0094","MansoJP","MisteriosPlata",1868,"Argentina","heterodiegetic","novela histórica","novela romántica","novela original","none","none","none","none",42919
"nh0095","MansoJP","FamiliaComendador",1854,"Argentina","heterodiegetic","novela social","novela romántica","novela original","none","none","none","none",35977
"nh0096","MitreB","Soledad",1847,"Argentina","heterodiegetic","novela sentimental","novela romántica","novela original","none","none","none","none",20992
"nh0097","PazI","Corregidora",1887,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",91038
"nh0098","RosasdeRiveraM","MariaMontiel",1861,"Argentina","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",100570
"nh0099","NajeraM","Cielo",1882,"Mexico","heterodiegetic","novela sentimental","novela modernista","novela original","none","none","none","none",33182
"nh0100","PortilloA","MariaLuisa",1896,"Mexico","heterodiegetic","novela histórica","unknown","none","none","none","none","none",37570
"nh0101","BarraE","MechaIturbe",1906,"Argentina","heterodiegetic","novela de costumbres","unknown","none","none","none","none","none",101792
"nh0102","VillaverdeC","DosAmores",1858,"Cuba","heterodiegetic","novela sentimental","novela romántica","novela original","novela americana","none","none","novela cubana",53230
"nh0103","ZamacoisN","MendigoSanAngel",1865,"Mexico","heterodiegetic","novela histórica","unknown","novela original","none","none","none","none",330876
"nh0104","CastilloFM","HermanaAngeles",1854,"Mexico","heterodiegetic","novela sentimental","novela romántica","none","none","none","none","none",29672
"nh0105","PaynoM","HombreSituacion",1861,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","none","none","none","none",50534
"nh0106","SierraOReillyJ","HijaJudio",1848,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",195753
"nh0107","ZamacoisN","Pompeya",1871,"Mexico","heterodiegetic","novela histórica","unknown","none","none","none","none","none",303394
"nh0108","InclanLG","Astucia",1866,"Mexico","heterodiegetic","novela histórica","novela romántica","novela original","novela americana","novela mexicana","none","none",315998
"nh0109","MoruaDelgadoM","Sofia",1891,"Cuba","heterodiegetic","novela social","novela naturalista","none","novela americana","none","none","novela cubana",58700
"nh0110","GorritiJM","Peregrinaciones",1876,"Argentina","autodiegetic","novela de viajes","novela romántica","none","none","none","none","none",42815
"nh0111","MateosJA","Insurgentes",1869,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",148644
"nh0112","CalcagnoF","CrimenesConcha",1887,"Cuba","heterodiegetic","novela social","unknown","none","novela americana","none","none","novela cubana",51313
"nh0113","GomezAvellanedaG","Sab",1841,"Cuba","heterodiegetic","novela abolicionista","novela romántica","novela original","none","none","none","none",53129
"nh0114","BobadillaE","Fuego",1903,"Cuba","heterodiegetic","novela social","novela naturalista","none","none","none","none","none",63807
"nh0115","GomezAvellanedaG","Guatimozin",1846,"Cuba","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",130454
"nh0116","GomezAvellanedaG","VeladaHelecho",1857,"Cuba","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",19566
"nh0117","GomezAvellanedaG","Espatolino",1844,"Cuba","heterodiegetic","novela histórica","novela romántica","novela original","none","none","none","none",58341
"nh0118","VillaverdeC","Cecilia",1839,"Cuba","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","none","none","novela cubana",182647
"nh0119","MartiJ","Amistad",1885,"Cuba","heterodiegetic","novela sentimental","novela modernista","none","none","none","none","none",36093
"nh0120","PaynoM","Fistol",1846,"Mexico","heterodiegetic","novela de costumbres","novela romántica","none","novela americana","novela mexicana","none","none",239353
"nh0121","SuarezRomeroA","Francisco",1839,"Cuba","heterodiegetic","novela abolicionista","novela romántica","none","novela americana","none","none","novela cubana",36662
"nh0122","RivaPalacioV","Muertos",1870,"Mexico","heterodiegetic","novela histórica","novela romántica","none","none","none","none","none",108815
"nh0123","SylvaV","AsiSea",1893,"Argentina","autodiegetic","novela sentimental","unknown","none","novela americana","none","none","none",57822
"nh0124","GomezAvellanedaG","ArtistaBarquero",1861,"Cuba","heterodiegetic","Künstlerroman","novela romántica","none","none","none","none","none",67902
"nh0125","RivaPalacioV","Calvario",1868,"Mexico","heterodiegetic","novela histórica","novela romántica","none","novela americana","novela mexicana","none","none",136311
"nh0126","CaneMI","Sconner",1858,"Argentina","heterodiegetic","novela social","novela romántica","none","none","none","none","none",24010
